,author,title,file,nationality,year,year_range
0,A. A. Milne,The Sunny Side,ebooks-unzipped/13441-8.txt,British,1921,1930
1,A. A. Milne,Second Plays,ebooks-unzipped/14734-8.txt,British,1921,1930
2,A. A. Milne,The Red House Mystery,ebooks-unzipped/1872-0.txt,British,1922,1930
3,A. A. Milne,Once on a Time,ebooks-unzipped/27771.txt,British,1917,1920
4,A. A. Milne,The Holiday Round,ebooks-unzipped/5675.txt,British,1912,1920
5,A. A. Milne,First Plays,ebooks-unzipped/7805-8.txt,British,1919,1920
6,A. E. W. Mason,The Four Feathers,ebooks-unzipped/18883-8.txt,British,1902,1910
7,A. Merritt,The Moon Pool,ebooks-unzipped/765-8.txt,American,1918,1920
8,A. P. Herbert,The Secret Battle,ebooks-unzipped/35164-8.txt,British,1919,1920
9,Abraham Cahan,"Yekl, A tale of the New York ghetto",ebooks-unzipped/36715-8.txt,American,1896,1900
10,Abraham Cahan,"The White Terror and The Red, A novel of revolutionary Russia",ebooks-unzipped/39166-8.txt,American,1905,1910
11,Abraham Cahan,"The Imported Bridegroom, And Other Stories of the New York Ghetto",ebooks-unzipped/43028-8.txt,American,1898,1900
12,Achmed Abdullah,"The Ten-foot Chain, or, Can Love Survive the Shackles? A Unique Symposium",ebooks-unzipped/32996-8.txt,British,1920,1920
13,Adeline Sergeant,"A True Friend, A Novel",ebooks-unzipped/23797-8.txt,British,1890,1890
14,Adeline Sergeant,"Name and Fame, A Novel",ebooks-unzipped/30110-8.txt,British,1890,1890
15,Adeline Sergeant,"Under False Pretences, A Novel",ebooks-unzipped/31375-8.txt,British,1889,1890
16,Adeline Trafton,An American Girl Abroad,ebooks-unzipped/32289-8.txt,American,1872,1880
17,Agatha Christie,The Secret Adversary,ebooks-unzipped/1155-0.txt,British,1922,1930
18,Agatha Christie,The Mysterious Affair at Styles,ebooks-unzipped/863-0.txt,British,1920,1920
19,Albert Payson Terhune,Further Adventures of Lad,ebooks-unzipped/2392.txt,American,1922,1930
20,Albert Payson Terhune,His Dog,ebooks-unzipped/2393.txt,American,1922,1930
21,Albert Payson Terhune,Lad: A Dog,ebooks-unzipped/38777-8.txt,American,1919,1920
22,Albert Payson Terhune,Superwomen,ebooks-unzipped/39339-8.txt,American,1916,1920
23,Albert Payson Terhune,Buff: A Collie and other dog-stories,ebooks-unzipped/42804-0.txt,American,1921,1930
24,Albert Payson Terhune,Black Caesar's Clan,ebooks-unzipped/4789.txt,American,1922,1930
25,Aldous Huxley,Crome Yellow,ebooks-unzipped/1999-0.txt,British,1921,1930
26,Aldous Huxley,The Defeat of Youth and Other Poems,ebooks-unzipped/24364-8.txt,British,1918,1920
27,Aldous Huxley,Mortal Coils,ebooks-unzipped/39378-8.txt,British,1922,1930
28,Aldous Huxley,The Burning Wheel,ebooks-unzipped/47912.txt,British,1916,1920
29,Alec Waugh,The Loom of Youth,ebooks-unzipped/18863-8.txt,British,1917,1920
30,Alec Waugh,"The Lonely Unicorn, A novel",ebooks-unzipped/43952-0.txt,British,1922,1930
31,Alec Waugh,"Roland Whately, A Novel",ebooks-unzipped/52020-0.txt,British,1922,1930
32,Alfred Coppel,The Hills of Home,ebooks-unzipped/22102.txt,American,2007,3000
33,Alfred Coppel,Turnover Point,ebooks-unzipped/31287.txt,American,2010,3000
34,Alfred Noyes,"Rada, A Drama of War in One Act",ebooks-unzipped/12220.txt,British,1913,1920
35,Alfred Noyes,"The New Morning, Poems",ebooks-unzipped/21029-8.txt,British,1919,1920
36,Alfred Noyes,"The Lord of Misrule, And Other Poems",ebooks-unzipped/30687-8.txt,British,1915,1920
37,Alfred Noyes,"Rada, A Belgian Christmas Eve",ebooks-unzipped/44829-8.txt,British,1915,1920
38,Algernon Blackwood,The Man Whom the Trees Loved,ebooks-unzipped/11377-8.txt,British,2016,3000
39,Algernon Blackwood,The Willows,ebooks-unzipped/11438.txt,British,1907,1910
40,Algernon Blackwood,The Human Chord,ebooks-unzipped/11988-8.txt,British,1910,1910
41,Algernon Blackwood,The Empty House And Other Ghost Stories,ebooks-unzipped/14471-8.txt,British,1906,1910
42,Algernon Blackwood,Four Weird Tales,ebooks-unzipped/16726.txt,British,2016,3000
43,Algernon Blackwood,"Jimbo, A Fantasy",ebooks-unzipped/30974-8.txt,British,1909,1910
44,Algernon Blackwood,"The Wave, An Egyptian Aftermath",ebooks-unzipped/33876.txt,British,1916,1920
45,Algernon Blackwood,The Promise of Air,ebooks-unzipped/35132.txt,British,1918,1920
46,Algernon Blackwood,"The Wolves of God, And Other Fey Stories",ebooks-unzipped/38310-8.txt,British,1921,1930
47,Algernon Blackwood,The Garden of Survival,ebooks-unzipped/4046.txt,British,1918,1920
48,Algernon Blackwood,The Bright Messenger,ebooks-unzipped/43594-0.txt,British,1921,1930
49,Algernon Blackwood,Day and Night Stories,ebooks-unzipped/45964-8.txt,British,1917,1920
50,Algernon Blackwood,"John Silence, Physician Extraordinary",ebooks-unzipped/49222-0.txt,British,1947,3000
51,Algernon Blackwood,"Julius LeVallon, An Episode",ebooks-unzipped/50107-0.txt,British,1916,1920
52,Algernon Blackwood,A Prisoner in Fairyland,ebooks-unzipped/6021.txt,British,1913,1920
53,Alice Harriman,A Man of Two Countries,ebooks-unzipped/28070-8.txt,American,1910,1910
54,Alice MacGowan,Judith of the Cumberlands,ebooks-unzipped/26527-8.txt,American,1908,1910
55,Ameen Rihani,The Book of Khalid,ebooks-unzipped/29257-8.txt,American,1911,1920
56,Andre Norton,The Time Traders,ebooks-unzipped/19145.txt,American,1958,3000
57,Andre Norton,Storm Over Warlock,ebooks-unzipped/20788-8.txt,American,1960,3000
58,Angela Brazil,"The New Girl at St. Chad's, A Story of School Life",ebooks-unzipped/24025-8.txt,British,1911,1920
59,Angela Brazil,"The Third Class at Miss Kaye's, A School Story",ebooks-unzipped/33263-8.txt,British,1909,1910
60,Angela Brazil,"The Jolliest Term on Record, A Story of School Life",ebooks-unzipped/33910-8.txt,British,1915,1920
61,Angela Brazil,Monitress Merle,ebooks-unzipped/7820-8.txt,British,1922,1930
62,Annie Fellows Johnston,The Little Colonel's House Party,ebooks-unzipped/15741-8.txt,American,1900,1900
63,Annie Fellows Johnston,The Little Colonel's Christmas Vacation,ebooks-unzipped/26215-8.txt,American,1905,1910
64,Annie Fellows Johnston,The Little Colonel at Boarding-School,ebooks-unzipped/38939-8.txt,American,1903,1910
65,Annie Fellows Johnston,The Little Colonel's Knight Comes Riding,ebooks-unzipped/39594-8.txt,American,1907,1910
66,Annie Fellows Johnston,The Little Colonel in Arizona,ebooks-unzipped/39599-8.txt,American,1904,1910
67,Annie Fellows Johnston,The Little Colonel's Holidays,ebooks-unzipped/40463-8.txt,American,1901,1910
68,Anthony Hope,The Heart of Princess Osra,ebooks-unzipped/41438-8.txt,British,1896,1900
69,Anthony Hope,The Prisoner of Zenda,ebooks-unzipped/95-0.txt,British,1894,1900
70,Anthony Trollope,Mr. Scarborough's Family,ebooks-unzipped/12234-8.txt,British,1883,1890
71,Anthony Trollope,The Claverings,ebooks-unzipped/15766-8.txt,British,1866,1870
72,Anthony Trollope,An Eye for an Eye,ebooks-unzipped/16804-8.txt,British,1879,1880
73,Anthony Trollope,"Phineas Finn, The Irish Member",ebooks-unzipped/18000-8.txt,British,1869,1870
74,Anthony Trollope,Phineas Redux,ebooks-unzipped/18640-8.txt,British,1874,1880
75,Anthony Trollope,Can You Forgive Her?,ebooks-unzipped/19500-8.txt,British,1864,1870
76,Anthony Trollope,The Prime Minister,ebooks-unzipped/2158-8.txt,British,1876,1880
77,Anthony Trollope,Dr. Wortle's School,ebooks-unzipped/21847-8.txt,British,1881,1890
78,Anthony Trollope,Kept in the Dark,ebooks-unzipped/22000-8.txt,British,1880,1880
79,Anthony Trollope,Orley Farm,ebooks-unzipped/23000-8.txt,British,1861,1870
80,Anthony Trollope,Cousin Henry,ebooks-unzipped/24103-8.txt,British,1879,1880
81,Anthony Trollope,Ralph the Heir,ebooks-unzipped/25579-8.txt,British,1869,1870
82,Anthony Trollope,The Bertrams,ebooks-unzipped/26001-8.txt,British,1859,1860
83,Anthony Trollope,Linda Tressel,ebooks-unzipped/26002-8.txt,British,1867,1870
84,Anthony Trollope,The Vicar of Bullhampton,ebooks-unzipped/26541-8.txt,British,1870,1870
85,Anthony Trollope,The Fixed Period,ebooks-unzipped/27067-8.txt,British,1882,1890
86,Anthony Trollope,"The Struggles of Brown, Jones, and Robinson, By One of the Firm",ebooks-unzipped/27533-8.txt,British,1862,1870
87,Anthony Trollope,Sir Harry Hotspur of Humblethwaite,ebooks-unzipped/27712-8.txt,British,1871,1880
88,Anthony Trollope,Framley Parsonage,ebooks-unzipped/2860-8.txt,British,1861,1870
89,Anthony Trollope,The Macdermots of Ballycloran,ebooks-unzipped/29000-8.txt,British,1847,1850
90,Anthony Trollope,Is He Popenjoy?,ebooks-unzipped/29828-8.txt,British,1877,1880
91,Anthony Trollope,Marion Fay,ebooks-unzipped/30100-8.txt,British,1881,1890
92,Anthony Trollope,The Last Chronicle of Barset,ebooks-unzipped/3045-8.txt,British,1867,1870
93,Anthony Trollope,Lady Anna,ebooks-unzipped/31274-8.txt,British,1873,1880
94,Anthony Trollope,Doctor Thorne,ebooks-unzipped/3166-8.txt,British,1858,1860
95,Anthony Trollope,Ayala's Angel,ebooks-unzipped/33500-8.txt,British,1881,1890
96,Anthony Trollope,Rachel Ray,ebooks-unzipped/34000-8.txt,British,1863,1870
97,Anthony Trollope,Barchester Towers,ebooks-unzipped/3409-8.txt,British,1857,1860
98,Anthony Trollope,The Duke's Children,ebooks-unzipped/3622-8.txt,British,1880,1880
99,Anthony Trollope,The Parson's Daughter of Oxney Colne,ebooks-unzipped/3717-0.txt,British,1861,1870
100,Anthony Trollope,George Walker at Suez,ebooks-unzipped/3718-0.txt,British,1861,1870
101,Anthony Trollope,A Ride across Palestine,ebooks-unzipped/3723-0.txt,British,1863,1870
102,Anthony Trollope,Travelling Sketches.,ebooks-unzipped/44992-8.txt,British,1866,1870
103,Anthony Trollope,The Small House at Allington,ebooks-unzipped/4599-8.txt,British,1864,1870
104,Anthony Trollope,The Kellys and the O'Kellys,ebooks-unzipped/4917-8.txt,British,1848,1850
105,Anthony Trollope,The Belton Estate,ebooks-unzipped/4969-8.txt,British,1865,1870
106,Anthony Trollope,The American Senator,ebooks-unzipped/5118-8.txt,British,1876,1880
107,Anthony Trollope,He Knew He Was Right,ebooks-unzipped/5140-8.txt,British,1869,1870
108,Anthony Trollope,The Golden Lion of Granpere,ebooks-unzipped/5202.txt,British,1872,1880
109,Anthony Trollope,The Way We Live Now,ebooks-unzipped/5231-8.txt,British,1875,1880
110,Anthony Trollope,"Harry Heathcote of Gangoil, A Tale of Australian Bush-Life",ebooks-unzipped/5642.txt,British,1874,1880
111,Anthony Trollope,Castle Richmond,ebooks-unzipped/5897-8.txt,British,1860,1860
112,Anthony Trollope,An Autobiography,ebooks-unzipped/5978-8.txt,British,1883,1890
113,Anthony Trollope,The Warden,ebooks-unzipped/619-8.txt,British,1855,1860
114,Anthony Trollope,The Eustace Diamonds,ebooks-unzipped/7381-8.txt,British,1871,1880
115,Anthony Trollope,The Three Clerks,ebooks-unzipped/7481-8.txt,British,1857,1860
116,Anthony Trollope,Nina Balatka,ebooks-unzipped/8897.txt,British,1867,1870
117,Anzia Yezierska,Hungry Hearts,ebooks-unzipped/41232-0.txt,American,1920,1920
118,Aphra Behn,"The Works of Aphra Behn, Volume V",ebooks-unzipped/29854-0.txt,British,2015,3000
119,Aphra Behn,"The Works of Aphra Behn, Volume VI",ebooks-unzipped/45777-0.txt,British,2015,3000
120,Aphra Behn,Love-Letters Between a Nobleman and His Sister,ebooks-unzipped/8409-0.txt,British,1684,1800
121,Arnold Bennett,Hilda Lessways,ebooks-unzipped/10658-8.txt,British,1911,1920
122,Arnold Bennett,"The Title, A Comedy in Three Acts",ebooks-unzipped/12687-8.txt,British,1918,1920
123,Arnold Bennett,Literary Taste: How to Form It,ebooks-unzipped/13852-8.txt,British,1909,1910
124,Arnold Bennett,"Your United States, Impressions of a first visit",ebooks-unzipped/15063-8.txt,British,1912,1920
125,Arnold Bennett,"Hugo, A Fantasia on Modern Themes",ebooks-unzipped/15712-8.txt,British,1906,1910
126,Arnold Bennett,How to Live on 24 Hours a Day,ebooks-unzipped/2274.txt,British,1908,1910
127,Arnold Bennett,The Grand Babylon Hotel,ebooks-unzipped/2813-0.txt,British,1900,1900
128,Arnold Bennett,"A Great Man, A Frolic",ebooks-unzipped/29860-8.txt,British,1904,1910
129,Arnold Bennett,Denry the Audacious,ebooks-unzipped/40103-0.txt,British,1911,1920
130,Arnold Bennett,"The Old Adam, A Story of Adventure",ebooks-unzipped/40168-0.txt,British,1913,1920
131,Arnold Bennett,These Twain,ebooks-unzipped/40483-0.txt,British,1915,1920
132,Arnold Bennett,The Grim Smile of the Five Towns,ebooks-unzipped/4734.txt,British,1907,1910
133,Arnold Bennett,The Old Wives' Tale,ebooks-unzipped/5247.txt,British,1908,1910
134,Arthur B. Reeve,The Silent Bullet,ebooks-unzipped/2454-0.txt,American,1910,1910
135,Arthur B. Reeve,The Social Gangster,ebooks-unzipped/33466-8.txt,American,1916,1920
136,Arthur B. Reeve,The Dream Doctor,ebooks-unzipped/5054.txt,American,1914,1920
137,Arthur B. Reeve,The War Terror,ebooks-unzipped/5073.txt,American,1915,1920
138,Arthur B. Reeve,The Romance of Elaine,ebooks-unzipped/5094.txt,American,1916,1920
139,Arthur B. Reeve,The Ear in the Wall,ebooks-unzipped/5150.txt,American,1916,1920
140,Arthur B. Reeve,The Exploits of Elaine,ebooks-unzipped/5151.txt,American,1915,1920
141,Arthur Davison Ficke,Chats on Japanese Prints,ebooks-unzipped/46753-0.txt,American,1915,1920
142,Arthur Morrison,"Martin Hewitt, Investigator",ebooks-unzipped/11252-8.txt,British,1894,1900
143,Ayn Rand,Anthem,ebooks-unzipped/1250.txt,American,1938,1940
144,B. H. Roberts,"The Life of John Taylor, Third President of the Church of Jesus Christ of Latter-day Saints",ebooks-unzipped/45303-8.txt,American,1892,1900
145,B. M. Bower,The Range Dwellers,ebooks-unzipped/14334-8.txt,American,1907,1910
146,B. M. Bower,The Lonesome Trail and Other Stories,ebooks-unzipped/14542.txt,American,2013,3000
147,B. M. Bower,The Lookout Man,ebooks-unzipped/15625.txt,American,1917,1920
148,B. M. Bower,The Trail of the White Mule,ebooks-unzipped/2063.txt,American,1922,1930
149,B. M. Bower,Sawtooth Ranch,ebooks-unzipped/28482-8.txt,American,1921,1930
150,B. M. Bower,Jean of the Lazy A,ebooks-unzipped/538.txt,American,1915,1920
151,B. M. Bower,Lonesome Land,ebooks-unzipped/8537-0.txt,American,1912,1920
152,B. M. Bower,"Chip, of the Flying U",ebooks-unzipped/9267-0.txt,American,1906,1910
153,Ben Hecht,"Fantazius Mallare, A Mysterious Oath",ebooks-unzipped/27261-8.txt,American,1954,3000
154,Ben Hecht,A Thousand and One Afternoons in Chicago,ebooks-unzipped/7988-8.txt,American,1922,1930
155,Benjamin Disraeli,Venetia,ebooks-unzipped/11869-8.txt,British,1837,1850
156,Benjamin Disraeli,"Henrietta Temple, A Love Story",ebooks-unzipped/19771-0.txt,British,1837,1850
157,Benjamin Disraeli,"Tancred, Or, The New Crusade",ebooks-unzipped/20004-0.txt,British,1847,1850
158,Benjamin Disraeli,Ixion In Heaven,ebooks-unzipped/20009-0.txt,British,1832,1850
159,Benjamin Disraeli,"Sybil, or the Two Nations",ebooks-unzipped/3760-0.txt,British,1845,1850
160,Benjamin Disraeli,Coningsby,ebooks-unzipped/7412-0.txt,British,1834,1850
161,Benjamin Disraeli,"Count Alarcos, A Tragedy",ebooks-unzipped/7487-0.txt,British,1847,1850
162,Benjamin Disraeli,The Voyage of Captain Popanilla,ebooks-unzipped/7816-0.txt,British,1828,1850
163,Benjamin Disraeli,Lothair,ebooks-unzipped/7835-0.txt,British,1870,1870
164,Benjamin Disraeli,The Rise of Iskander,ebooks-unzipped/7842-0.txt,British,1832,1850
165,Benjamin Disraeli,Endymion,ebooks-unzipped/7926-0.txt,British,1880,1880
166,Bernie Babcock,The Daughter of a Republican,ebooks-unzipped/31493.txt,American,1900,1900
167,Berta Ruck,The Boy with Wings,ebooks-unzipped/36223-8.txt,British,1915,1920
168,Berta Ruck,The Disturbing Charm,ebooks-unzipped/36442-8.txt,British,1919,1920
169,Bertha Runkle,Helmet of Navarre,ebooks-unzipped/14219-8.txt,American,1901,1910
170,Beulah Marie Dix,"Soldier Rigdale, How He Sailed in the Mayflower and How He Served Miles Standish",ebooks-unzipped/44165-8.txt,American,1905,1910
171,Beulah Marie Dix,The Turned-About Girls,ebooks-unzipped/46048-8.txt,American,1922,1930
172,Beulah Marie Dix,"Hugh Gwyeth, A Roundhead Cavalier",ebooks-unzipped/52962-0.txt,American,1899,1900
173,Blanche McManus,Our Little Hindu Cousin,ebooks-unzipped/41977-8.txt,American,1907,1910
174,Blanche McManus,Our Little Scotch Cousin,ebooks-unzipped/43546-8.txt,American,1906,1910
175,Blanche McManus,Our Little French Cousin,ebooks-unzipped/43831-8.txt,American,1905,1910
176,Blanche McManus,Our Little Arabian Cousin,ebooks-unzipped/46042-8.txt,American,1907,1910
177,Booth Tarkington,Penrod and Sam,ebooks-unzipped/1158-0.txt,American,1916,1920
178,Booth Tarkington,The Gibson Upright,ebooks-unzipped/13275-8.txt,American,1919,1920
179,Booth Tarkington,Gentle Julia,ebooks-unzipped/18259-8.txt,American,1922,1930
180,Booth Tarkington,Monsieur Beaucaire,ebooks-unzipped/1983-0.txt,American,1900,1900
181,Booth Tarkington,His Own People,ebooks-unzipped/2326-0.txt,American,1907,1910
182,Booth Tarkington,Ramsey Milholland,ebooks-unzipped/2595-0.txt,American,1919,1920
183,Booth Tarkington,The Two Vanrevels,ebooks-unzipped/3428-0.txt,American,1902,1910
184,Booth Tarkington,Penrod,ebooks-unzipped/402-0.txt,American,1914,1920
185,Booth Tarkington,The Conquest of Canaan,ebooks-unzipped/483.txt,American,1905,1910
186,Booth Tarkington,The Guest of Quesnay,ebooks-unzipped/5756.txt,American,1908,1910
187,Booth Tarkington,The Beautiful Lady,ebooks-unzipped/5798-0.txt,American,1905,1910
188,Booth Tarkington,Harlequin and Columbine,ebooks-unzipped/6401-0.txt,American,1921,1930
189,Booth Tarkington,"In the Arena, Stories of Political Life",ebooks-unzipped/8740-0.txt,American,1905,1910
190,Booth Tarkington,The Magnificent Ambersons,ebooks-unzipped/8867-0.txt,American,1918,1920
191,Bruce Sterling,"Hacker Crackdown, Law and Disorder on the Electronic Frontier",ebooks-unzipped/101.txt,American,1992,3000
192,Camilla Kenyon,Spanish Doubloons,ebooks-unzipped/12639.txt,American,1919,1920
193,Caroline Lee Hentz,"Helen and Arthur, or, Miss Thusa's Spinning Wheel",ebooks-unzipped/23106-8.txt,American,1853,1860
194,Caroline Lockhart,The Dude Wrangler,ebooks-unzipped/23244-8.txt,American,1921,1930
195,Caroline Lockhart,The Lady Doc,ebooks-unzipped/23304-8.txt,American,1912,1920
196,Caroline Lockhart,The Man from the Bitter Roots,ebooks-unzipped/24287-8.txt,American,1915,1920
197,Carroll Watson Rankin,The Cinder Pond,ebooks-unzipped/36119-8.txt,American,1915,1920
198,Carroll Watson Rankin,"The Adopting of Rosa Marie, A Sequel to Dandelion Cottage",ebooks-unzipped/46059-8.txt,American,1908,1910
199,Charles Alden Seltzer,The Trail Horde,ebooks-unzipped/17477-8.txt,American,1920,1920
200,Charles Alden Seltzer,The Two-Gun Man,ebooks-unzipped/19012.txt,American,1911,1920
201,Charles Alden Seltzer,The Range Boss,ebooks-unzipped/25754.txt,American,1916,1920
202,Charles Alden Seltzer,The Trail to Yesterday,ebooks-unzipped/27051.txt,American,1913,1920
203,Charles Alden Seltzer,The Coming of the Law,ebooks-unzipped/31512-8.txt,American,1912,1920
204,Charles Boardman Hawes,The Great Quest,ebooks-unzipped/40265-8.txt,American,1921,1930
205,Charles Boardman Hawes,The Dark Frigate,ebooks-unzipped/50598-8.txt,American,1924,1930
206,Charles Dickens,Bleak House,ebooks-unzipped/1023.txt,British,1853,1860
207,Charles Dickens,Three Ghost Stories,ebooks-unzipped/1289-0.txt,British,2009,3000
208,Charles Dickens,The Holly-Tree,ebooks-unzipped/1394.txt,British,2006,3000
209,Charles Dickens,Great Expectations,ebooks-unzipped/1400-0.txt,British,1860,1860
210,Charles Dickens,The Perils of Certain English Prisoners,ebooks-unzipped/1406.txt,British,2009,3000
211,Charles Dickens,A Message from the Sea,ebooks-unzipped/1407.txt,British,1860,1860
212,Charles Dickens,Tom Tiddler's Ground,ebooks-unzipped/1413.txt,British,1861,1870
213,Charles Dickens,Somebody's Luggage,ebooks-unzipped/1414.txt,British,1862,1870
214,Charles Dickens,Mugby Junction,ebooks-unzipped/1419.txt,British,1866,1870
215,Charles Dickens,Mrs. Lirriper's Legacy,ebooks-unzipped/1421.txt,British,1864,1870
216,Charles Dickens,The Wreck of the Golden Mary,ebooks-unzipped/1465.txt,British,1856,1860
217,Charles Dickens,Some Christmas Stories,ebooks-unzipped/1467-0.txt,British,1911,1920
218,Charles Dickens,A Christmas Carol,ebooks-unzipped/19337-8.txt,British,1843,1850
219,Charles Dickens,The Cricket on the Hearth,ebooks-unzipped/20795.txt,British,1845,1850
220,Charles Dickens,A House to Let,ebooks-unzipped/2324.txt,British,1858,1860
221,Charles Dickens,"A Christmas Carol, The original manuscript",ebooks-unzipped/30368-8.txt,British,1843,1850
222,Charles Dickens,"The Cricket on the Hearth, A Fairy Tale of Home",ebooks-unzipped/37581.txt,British,1845,1850
223,Charles Dickens,The Personal History of David Copperfield,ebooks-unzipped/43111-8.txt,British,1850,1850
224,Charles Dickens,"A Christmas Carol, A Ghost Story of Christmas",ebooks-unzipped/46-8.txt,British,1843,1850
225,Charles Dickens,The Mystery of Edwin Drood,ebooks-unzipped/564-0.txt,British,1870,1870
226,Charles Dickens,The Pickwick Papers,ebooks-unzipped/580-0.txt,British,1837,1850
227,Charles Dickens,Master Humphrey's Clock,ebooks-unzipped/588-0.txt,British,1840,1850
228,Charles Dickens,The Haunted Man and the Ghost's Bargain,ebooks-unzipped/644-0.txt,British,1848,1850
229,Charles Dickens,Pictures from Italy,ebooks-unzipped/650-0.txt,British,1846,1850
230,Charles Dickens,The Chimes,ebooks-unzipped/653-0.txt,British,1844,1850
231,Charles Dickens,American Notes for General Circulation,ebooks-unzipped/675-0.txt,British,1842,1850
232,Charles Dickens,A Child's History of England,ebooks-unzipped/699.txt,British,1851,1860
233,Charles Dickens,Oliver Twist,ebooks-unzipped/730.txt,British,1838,1850
234,Charles Dickens,David Copperfield,ebooks-unzipped/766-0.txt,British,1850,1850
235,Charles Dickens,Hard Times,ebooks-unzipped/786-0.txt,British,1854,1860
236,Charles Dickens,George Silverman's Explanation,ebooks-unzipped/810-0.txt,British,1868,1870
237,Charles Dickens,Dombey and Son,ebooks-unzipped/821-0.txt,British,1848,1850
238,Charles Dickens,"Sketches by Boz, illustrative of everyday life and every-day people",ebooks-unzipped/882-0.txt,British,1836,1850
239,Charles Dickens,Our Mutual Friend,ebooks-unzipped/883-0.txt,British,1865,1870
240,Charles Dickens,The Lazy Tour of Two Idle Apprentices,ebooks-unzipped/888-0.txt,British,1857,1860
241,Charles Dickens,The Mudfog and Other Sketches,ebooks-unzipped/912-0.txt,British,1837,1850
242,Charles Dickens,The Uncommercial Traveller,ebooks-unzipped/914-0.txt,British,1875,1880
243,Charles Dickens,Sketches of Young Couples,ebooks-unzipped/916-0.txt,British,1840,1850
244,Charles Dickens,Sketches of Young Gentlemen,ebooks-unzipped/918-0.txt,British,1838,1850
245,Charles Dickens,Sunday under Three Heads,ebooks-unzipped/922-0.txt,British,1836,1850
246,Charles Dickens,The Lamplighter,ebooks-unzipped/927-0.txt,British,1854,1860
247,Charles Dickens,Little Dorrit,ebooks-unzipped/963-0.txt,British,1857,1860
248,Charles Dickens,The Life And Adventures Of Nicholas Nickleby,ebooks-unzipped/967-0.txt,British,1839,1850
249,Charles Dickens,Life And Adventures Of Martin Chuzzlewit,ebooks-unzipped/968-0.txt,British,1843,1850
250,Charles Dickens,"A Tale of Two Cities, A Story of the French Revolution",ebooks-unzipped/98-0.txt,British,1859,1860
251,Charles Dudley Warner,The People For Whom Shakespeare Wrote,ebooks-unzipped/3124.txt,American,1897,1900
252,Charles Dudley Warner,Baddeck and That Sort of Thing,ebooks-unzipped/3133-0.txt,American,1874,1880
253,Charles E. Fritch,I Like Martian Music,ebooks-unzipped/28451.txt,American,2009,3000
254,Charles Kingsley,All Saints' Day and Other Sermons,ebooks-unzipped/10116.txt,British,2009,3000
255,Charles Kingsley,Town Geology,ebooks-unzipped/10251.txt,British,1873,1880
256,Charles Kingsley,The Gospel of the Pentateuch,ebooks-unzipped/10325.txt,British,1863,1870
257,Charles Kingsley,Literary and General Lectures and Essays,ebooks-unzipped/11026.txt,British,1890,1890
258,Charles Kingsley,Andromeda and Other Poems,ebooks-unzipped/11064.txt,British,1858,1860
259,Charles Kingsley,The Saint's Tragedy,ebooks-unzipped/11346.txt,British,2009,3000
260,Charles Kingsley,Sermons for the Times,ebooks-unzipped/11381.txt,British,1855,1860
261,Charles Kingsley,Town and Country Sermons,ebooks-unzipped/11536.txt,British,1861,1870
262,Charles Kingsley,"Madam How and Lady Why, or, First Lessons in Earth Lore for Children",ebooks-unzipped/1697.txt,British,1869,1870
263,Charles Kingsley,"Westminster Sermons, with a Preface",ebooks-unzipped/18369.txt,British,1874,1880
264,Charles Kingsley,Westward Ho!,ebooks-unzipped/1860-0.txt,British,1855,1860
265,Charles Kingsley,"The Water-Babies, A Fairy Tale for a Land-Baby",ebooks-unzipped/25564-0.txt,British,1863,1870
266,Charles Kingsley,Lectures Delivered in America in 1874,ebooks-unzipped/30944-0.txt,British,1875,1880
267,Charles Kingsley,Plays and Puritans,ebooks-unzipped/3142-0.txt,British,1873,1880
268,Charles Kingsley,Sir Walter Raleigh and his Time,ebooks-unzipped/3143-0.txt,British,1859,1860
269,Charles Kingsley,The Water-Babies,ebooks-unzipped/36309-8.txt,British,1863,1870
270,Charles Kingsley,"The Roman and the Teuton, A Series of Lectures delivered before the University of Cambridge",ebooks-unzipped/3821.txt,British,1864,1870
271,Charles Kingsley,"Hypatia, or, New Foes with an Old Face",ebooks-unzipped/6308-0.txt,British,1853,1860
272,Charles Kingsley,"The Heroes, or Greek Fairy Tales for my Children",ebooks-unzipped/677-0.txt,British,1859,1860
273,Charles Kingsley,"Prose Idylls, New and Old",ebooks-unzipped/7032-0.txt,British,1873,1880
274,Charles Kingsley,"Discipline, and Other Sermons",ebooks-unzipped/7042-0.txt,British,1868,1870
275,Charles Kingsley,"Hereward, The Last of the English",ebooks-unzipped/7815-0.txt,British,1865,1870
276,Charles Kingsley,Twenty-Five Village Sermons,ebooks-unzipped/7954-0.txt,British,1849,1850
277,Charles Kingsley,Sermons on National Subjects,ebooks-unzipped/8202-0.txt,British,1852,1860
278,Charles Kingsley,"Alton Locke, Tailor And Poet",ebooks-unzipped/8374-8.txt,British,1850,1850
279,Charles Reade,A Perilous Secret,ebooks-unzipped/12470-8.txt,British,1884,1890
280,Charles Reade,The Cloister and the Hearth,ebooks-unzipped/1366-0.txt,British,1859,1860
281,Charles Reade,Put Yourself in His Place,ebooks-unzipped/2497-0.txt,British,1870,1870
282,Charles Reade,Peg Woffington,ebooks-unzipped/3670-0.txt,British,1853,1860
283,Charles Reade,Christie Johnstone,ebooks-unzipped/3671-0.txt,British,1853,1860
284,Charles Reade,"The Cloister and the Hearth, A Tale of the Middle Ages",ebooks-unzipped/38895-0.txt,British,1861,1870
