,number_of_clusters,score
0,3,887.050898528
1,4,870.118006759
2,5,857.899407068
3,6,847.55328099
4,7,839.613730334
5,8,832.129991339
6,9,824.445583497
7,10,813.600514861
8,11,807.75638963
9,12,803.38123697
10,13,796.697744923
11,14,790.952812076
12,15,784.249188243
13,16,778.09380155
14,17,773.284681683
15,18,769.778393716
16,19,764.027029659
